iter	Logloss
0	0.6751417698
1	0.6582966692
2	0.6441205027
3	0.6283864748
4	0.6137727054
5	0.5995126893
6	0.5856814639
7	0.5716799552
8	0.5578519194
9	0.5444171276
10	0.5318137899
11	0.5195803245
12	0.5097728607
13	0.4991888998
14	0.488243006
15	0.4780318101
16	0.4680058235
17	0.4590103669
18	0.4502519164
19	0.442515024
20	0.4338025192
21	0.4260035067
22	0.4191167727
23	0.4114440886
24	0.4041367923
25	0.3971321945
26	0.3896805691
27	0.382865799
28	0.3755963683
29	0.3693286692
30	0.3652624561
31	0.3599547035
32	0.3559277693
33	0.3507303991
34	0.3447616075
35	0.3399889321
36	0.3364477426
37	0.3314820476
38	0.3265296902
39	0.3216464821
40	0.3181893589
41	0.3140496917
42	0.3096174275
43	0.3053703999
44	0.3014225723
45	0.2991445285
46	0.2958315997
47	0.2938889738
48	0.2899058709
49	0.2865385405
50	0.2835860858
51	0.2798235012
52	0.2764059281
53	0.2743345137
54	0.2714518743
55	0.268936457
56	0.2658187493
57	0.2626328836
58	0.2611896679
59	0.2582216735
60	0.2557756837
61	0.253938209
62	0.2515779679
63	0.2495346637
64	0.2468709122
65	0.2454749287
66	0.2430157722
67	0.2406916842
68	0.2386407537
69	0.2363565275
70	0.2340905515
71	0.2327132403
72	0.2306241852
73	0.2286179267
74	0.2279775686
75	0.2264095754
76	0.22459897
77	0.2237487057
78	0.2224402704
79	0.2204665901
80	0.2198284775
81	0.2187349195
82	0.2177346473
83	0.2167845132
84	0.2150961594
85	0.2138568253
86	0.213105528
87	0.2121396123
88	0.2115287787
89	0.2110044472
90	0.2099246493
91	0.2091404039
92	0.2076105459
93	0.2062095406
94	0.2055314443
95	0.2047164814
96	0.2038134471
97	0.2030284111
98	0.2016522048
99	0.2009508917
100	0.2004553195
101	0.1998581853
102	0.199170173
103	0.1984249487
104	0.197988424
105	0.1970555133
106	0.1963575512
107	0.1959745438
108	0.1946797546
109	0.1940898339
110	0.1937496199
111	0.1926177073
112	0.1919378664
113	0.1915581108
